pct,size,max_time,max_dist,average_time,average_dist,geometric_time,geometric_dist,harmonic_time,harmonic_dist
15,60,0.057267189025878906,87,0.0587007999420166,91,0.05846858024597168,92,0.05854034423828125,92
25,60,0.0597996711730957,104,0.05867600440979004,99,0.05978703498840332,99,0.05874037742614746,99
0,41,0.013900279998779297,0,0.014658689498901367,0,0.014701604843139648,0,0.014917373657226562,0
5,41,0.014737129211425781,21,0.01611948013305664,26,0.015966176986694336,26,0.016335725784301758,26
10,41,0.014569997787475586,24,0.015722990036010742,23,0.016271352767944336,23,0.016532421112060547,23
15,41,0.015218257904052734,37,0.0179288387298584,37,0.01691150665283203,52,0.01718759536743164,52
25,41,0.014485359191894531,50,0.01711583137512207,72,0.01715826988220215,72,0.016890287399291992,72
0,47,0.0234682559967041,0,0.02504563331604004,0,0.02610015869140625,0,0.025693416595458984,0
5,47,0.02341771125793457,9,0.025365114212036133,30,0.025796890258789062,30,0.02628016471862793,32
10,47,0.02460622787475586,27,0.026416301727294922,35,0.026494979858398438,35,0.026228904724121094,35
15,47,0.02299976348876953,50,0.02613687515258789,58,0.027014493942260742,58,0.028707027435302734,68
25,47,0.022922754287719727,59,0.025028228759765625,73,0.026719331741333008,73,0.02696061134338379,73
0,87,0.16576361656188965,0,0.16292214393615723,0,0.16114282608032227,0,0.1630105972290039,0
5,87,0.18240737915039062,51,0.18065285682678223,52,0.17950057983398438,57,0.18050885200500488,57
10,87,0.18639111518859863,106,0.18303632736206055,76,0.19010329246520996,76,0.18290257453918457,76
15,87,0.18835115432739258,122,0.18508625030517578,104,0.18693900108337402,106,0.18506145477294922,106
25,87,0.1887226104736328,195,0.18465662002563477,160,0.19307208061218262,134,0.1869492530822754,134
0,111,0.3556833267211914,0,0.3435347080230713,0,0.34332847595214844,0,0.3435356616973877,0
5,111,0.3986847400665283,97,0.40179896354675293,87,0.3917384147644043,87,0.3905811309814453,87
10,111,0.4037001132965088,137,0.3944568634033203,120,0.3951866626739502,121,0.3964347839355469,121
15,111,0.4063897132873535,168,0.40041255950927734,161,0.3998744487762451,161,0.4021601676940918,161
25,111,0.41396188735961914,280,0.40598583221435547,206,0.4068126678466797,202,0.4056968688964844,202
0,70,0.0945131778717041,0,0.09155774116516113,0,0.09256434440612793,0,0.09517526626586914,0
5,70,0.09393692016601562,38,0.0933084487915039,30,0.09421896934509277,30,0.09579586982727051,30
10,70,0.09312605857849121,77,0.09467577934265137,48,0.098876953125,48,0.09376811981201172,54
15,70,0.09594893455505371,75,0.09492063522338867,75,0.09541821479797363,75,0.09544038772583008,71
25,70,0.09693288803100586,114,0.09522509574890137,115,0.09805130958557129,117,0.0969700813293457,111
0,101,0.30426979064941406,0,0.28568553924560547,0,0.286313533782959,0,0.288923978805542,0
5,101,0.2988626956939697,87,0.29217076301574707,97,0.30156660079956055,97,0.293196439743042,97
10,101,0.30071473121643066,88,0.29530930519104004,90,0.29353880882263184,90,0.29659199714660645,90
15,101,0.3035154342651367,167,0.297438383102417,142,0.2971665859222412,140,0.3075137138366699,141
25,101,0.3110997676849365,177,0.29961705207824707,156,0.3039259910583496,156,0.3008451461791992,156
0,135,0.6823616027832031,0,0.6617259979248047,0,0.6634395122528076,0,0.6678688526153564,0
5,135,0.7422773838043213,98,0.7270221710205078,71,0.7315177917480469,71,0.7327213287353516,71
10,135,0.7764675617218018,128,0.7346048355102539,140,0.7409188747406006,140,0.7398896217346191,140
15,135,0.7833411693572998,224,0.741788387298584,191,0.7447817325592041,181,0.7445061206817627,181
